code,class,busdate,weekday,week,festival,fix_amount,price,sum_price
6921168509256,10,2016-03-11,4,10,0,4.0,1.8,7.2
6921168509256,10,2016-03-12,5,10,0,18.0,1.7990000000000002,32.4
6921168509256,10,2016-03-13,6,10,0,3.0,1.8,5.4
6921168509256,10,2016-03-14,0,11,0,4.0,1.8,7.2
6921168509256,10,2016-03-15,1,11,0,2.0,1.8,3.6
6921168509256,10,2016-03-16,2,11,0,17.0,1.7990000000000002,30.599
6921168509256,10,2016-03-17,3,11,0,37.0,1.7990000000000002,66.6
6921168509256,10,2016-03-18,4,11,0,13.0,1.7990000000000002,23.4
6921168509256,10,2016-03-19,5,11,0,9.0,1.7990000000000002,16.2
6921168509256,10,2016-03-20,6,11,0,29.0,1.8,52.2
6921168509256,10,2016-03-21,0,12,0,1.0,1.8,1.8
6921168509256,10,2016-03-22,1,12,0,2.0,1.8,3.6
6921168509256,10,2016-03-23,2,12,0,6.0,1.8,10.8
6921168509256,10,2016-03-24,3,12,0,28.0,1.8,50.4
6921168509256,10,2016-03-25,4,12,0,6.0,1.8,10.8
6921168509256,10,2016-03-26,5,12,0,4.0,1.8,7.2
6921168509256,10,2016-03-27,6,12,0,10.0,1.8,18.0
6921168509256,10,2016-03-28,0,13,0,3.0,1.8,5.4
6921168509256,10,2016-03-29,1,13,0,3.0,1.8,5.4
6921168509256,10,2016-03-30,2,13,0,8.0,1.8,14.4
6921168509256,10,2016-03-31,3,13,0,4.0,1.8,7.2
6921168509256,10,2016-04-01,4,13,0,1.0,1.8,1.8
6921168509256,10,2016-04-02,5,13,0,6.0,1.8,10.8
6921168509256,10,2016-04-03,6,13,0,6.0,1.8,10.8
6921168509256,10,2016-04-04,0,14,0,13.0,1.7990000000000002,23.4
6921168509256,10,2016-04-05,1,14,0,4.0,1.8,7.2
6921168509256,10,2016-04-06,2,14,0,2.0,1.8,3.6
6921168509256,10,2016-04-07,3,14,0,8.0,1.8,14.4
6921168509256,10,2016-04-08,4,14,0,3.0,1.8,5.4
6921168509256,10,2016-04-09,5,14,0,6.0,1.8,10.8
6921168509256,10,2016-04-10,6,14,0,23.0,1.8,41.4
6921168509256,10,2016-04-11,0,15,0,0.0,1.8,0.0
6921168509256,10,2016-04-12,1,15,0,9.0,1.7990000000000002,16.2
6921168509256,10,2016-04-13,2,15,0,3.0,1.8,5.4
6921168509256,10,2016-04-14,3,15,0,4.0,1.8,7.2
6921168509256,10,2016-04-15,4,15,0,4.0,1.8,7.2
6921168509256,10,2016-04-16,5,15,0,13.0,1.7990000000000002,23.4
6921168509256,10,2016-04-17,6,15,0,4.0,1.8,7.2
6921168509256,10,2016-04-18,0,16,0,10.0,1.8,18.0
6921168509256,10,2016-04-19,1,16,0,0.0,1.8,0.0
6921168509256,10,2016-04-20,2,16,0,8.0,1.8,14.4
6921168509256,10,2016-04-21,3,16,0,8.0,1.8,14.4
6921168509256,10,2016-04-22,4,16,0,4.0,1.8,7.2
6921168509256,10,2016-04-23,5,16,0,3.0,1.8,5.4
6921168509256,10,2016-04-24,6,16,0,9.0,1.7990000000000002,16.2
6921168509256,10,2016-04-25,0,17,0,3.0,1.8,5.4
6921168509256,10,2016-04-26,1,17,0,5.0,1.8,9.0
6921168509256,10,2016-04-27,2,17,0,12.0,1.8,21.6
6921168509256,10,2016-04-28,3,17,3,56.0,1.8,100.8
6921168509256,10,2016-04-29,4,17,3,13.0,1.7990000000000002,23.4
6921168509256,10,2016-04-30,5,17,3,21.0,1.7990000000000002,37.8
6921168509256,10,2016-05-01,6,17,3,32.0,1.8,57.6
6921168509256,10,2016-05-02,0,18,3,18.0,1.7990000000000002,32.4
6921168509256,10,2016-05-03,1,18,3,7.0,1.8,12.6
